corpus_name,canonical_author_id,matched_en_name,matched_he_name,name_script,source,confidence,status,notes
עמרי בן-יהודה,inbal_ben_yehuda,Inbal Ben Yehuda,ענבל בן-יהודה,HE,fuzzy_he,0.769,rejected,
אדם רז,adam_keller,Adam Keller,אדם קלר,HE,fuzzy_he,0.769,rejected,
שאד'ה חאמד,muhammad_shehada,Muhammad Shehada,מוחמד שחאדה,HE,fuzzy_he,0.762,rejected,
עלאא מסארוה,alaa_salama,Alaa Salama,עלאא סלאמה,HE,fuzzy_he,0.762,rejected,
דניאל בלטה,daniel_bar_tal,Daniel Bar-Tal,דניאל בר-טל,HE,fuzzy_he,0.762,rejected,
גלעד ליברמן,gilad_halpern,Gilad Halpern,גלעד הלפרן,HE,fuzzy_he,0.762,rejected,
אמג'ד שביטה,fadi_shabita,Fadi Shabita,פאדי שביטה,HE,fuzzy_he,0.762,rejected,
אמילי מואטי,eli_shmueli,Eli Shmueli,אלי שמואלי,HE,fuzzy_he,0.762,rejected,
נועה קאופמן,ami_kaufman,Ami Kaufman,עמי קאופמן,HE,fuzzy_he,0.762,rejected,
רפי גרינברג,lev_grinberg,Lev Grinberg,לב גרינברג,HE,fuzzy_he,0.762,rejected,
רפי גרינברג,lev_grinberg,Lev Grinberg,לב גרינברג,HE,fuzzy_he,0.762,rejected,
יונתן שמיר,yonathan_mizrachi,Yonathan Mizrachi,יונתן מזרחי,HE,fuzzy_he,0.762,rejected,
פרימה בוביס,frima_merphie_bubis,Frima (Merphie) Bubis,פרימה (מרפי) בוביס,HE,fuzzy_he,0.759,accepted,
שי אילוק,eyal_sagiv,Eyal Sagiv,איל שגיב,HE,fuzzy_he,0.75,rejected,
רעות כהן,roy_cohen,Roy Cohen,רועי כהן,HE,fuzzy_he,0.75,rejected,
שי אורדן,oren_ziv,Oren Ziv,אורן זיו,HE,fuzzy_he,0.75,rejected,
קסם אדיב,assaf_adiv,Assaf Adiv,אסף אדיב,HE,fuzzy_he,0.75,rejected,
אור סרי,roi_maor,Roi Maor,רועי מאור,HE,fuzzy_he,0.75,rejected,
שרון שלי,ellie_stern,Ellie Stern,אלי שטרן,HE,fuzzy_he,0.75,rejected,
שי אורדן,oren_ziv,Oren Ziv,אורן זיו,HE,fuzzy_he,0.75,rejected,
נטע גולן,dana_golan,Dana Golan,דנה גולן,HE,fuzzy_he,0.75,rejected,
נועה טל,noa_yachot,Noa Yachot,נועה יחוט,HE,fuzzy_he,0.75,rejected,
איתי מלאך,adv_itai_mack,Adv. Itai Mack,איתי מק,HE,fuzzy_he,0.75,rejected,
שרון שלי,ellie_stern,Ellie Stern,אלי שטרן,HE,fuzzy_he,0.75,rejected,
יעל רונן,yael_yali_marom,Yael/Yali Marom,יעל מרום,HE,fuzzy_he,0.75,rejected,
איתי קנדר,adv_itai_mack,Adv. Itai Mack,איתי מק,HE,fuzzy_he,0.75,rejected,
אבי דבאח,avi_dabush,Avi Dabush,אבי דבוש,HE,fuzzy_he,0.75,rejected,
אור לילו,oren_ziv,Oren Ziv,אורן זיו,HE,fuzzy_he,0.75,rejected,
אורי הדר,sahar_vardi,Sahar Vardi,סהר ורדי,HE,fuzzy_he,0.75,rejected,
אורי זכי,oren_ziv,Oren Ziv,אורן זיו,HE,fuzzy_he,0.75,rejected,
רווידה כמאל עמאר,ruwaida_amer,Ruwaida Amer,רווידה עאמר,HE,fuzzy_he,0.741,pending,
דוד מזרחי,alon_mizrahi,Alon Mizrahi,אלון מזרחי,HE,fuzzy_he,0.737,rejected,
רולא סלמה,alaa_salama,Alaa Salama,עלאא סלאמה,HE,fuzzy_he,0.737,rejected,
הלא אחמד,ahmad_al_bazz,Ahmad Al-Bazz,אחמד אל-באז,HE,fuzzy_he,0.737,rejected,
זוהר אלון,alon_mizrahi,Alon Mizrahi,אלון מזרחי,HE,fuzzy_he,0.737,rejected,
מהא נסאר,makbula_nassar,Makbula Nassar,מקבולה נסאר,HE,fuzzy_he,0.737,rejected,
ניצן תנעמי,naomi_niddam,Naomi Niddam,נעמי נידם,HE,fuzzy_he,0.737,rejected,
אורלי אלמי,orly_noy,Orly Noy,אורלי נוי,HE,fuzzy_he,0.737,rejected,
דודו רוטמן,ron_dudai,Ron Dudai,רון דודאי,HE,fuzzy_he,0.737,rejected,
יונתן אמיר,amir_rotem,Amir Rotem,אמיר רותם,HE,fuzzy_he,0.737,rejected,
שרון קנטור,corey_sherman,Corey Sherman,קורי שרמן,HE,fuzzy_he,0.737,rejected,
אורי שביט,fadi_shabita,Fadi Shabita,פאדי שביטה,HE,fuzzy_he,0.737,rejected,
יאיר אורון,assaf_oron,Assaf Oron,אסף אורון,HE,fuzzy_he,0.737,rejected,
עמיר טאובר,abeer_ayyoub,Abeer Ayyoub,עביר איוב,HE,fuzzy_he,0.737,rejected,
אריק אשרמן,corey_sherman,Corey Sherman,קורי שרמן,HE,fuzzy_he,0.737,rejected,
רועי אלוני,roi_maor,Roi Maor,רועי מאור,HE,fuzzy_he,0.737,rejected,
אורי עגנון,orly_noy,Orly Noy,אורלי נוי,HE,fuzzy_he,0.737,rejected,
מיכל רוזין,michal_rotem,Michal Rotem,מיכל רותם,HE,fuzzy_he,0.737,rejected,
הילה עמית,amit_gilutz,Amit Gilutz,עמית גילוץ,HE,fuzzy_he,0.737,rejected,
חסן סלמאן,salah_mohsen,Salah Mohsen,סלאח מוחסן,HE,fuzzy_he,0.737,rejected,
עידו דמבין,ido_liven,Ido Liven,עידו ליבן,HE,fuzzy_he,0.737,rejected,
רותם אלישע,amir_rotem,Amir Rotem,אמיר רותם,HE,fuzzy_he,0.737,rejected,
גיל רוטשילד אליאסי,leehee_rothschild,Leehee Rothschild,ליהי רוטשילד,HE,fuzzy_he,0.733,rejected,
הודא אבו עובייד,imad_abu_hawash,​Imad Abu Hawash,עימאד אבו הוואש,HE,fuzzy_he,0.733,rejected,
יפתח גולדמן,lisa_goldman,Lisa Goldman,ליסה גולדמן,HE,fuzzy_he,0.727,rejected,
שמואל גלמידי,eli_shmueli,Eli Shmueli,אלי שמואלי,HE,fuzzy_he,0.727,rejected,
עזמי בשארה,aziz_abu_sarah,Aziz Abu Sarah,עזיז אבו-שרה,HE,fuzzy_he,0.727,rejected,
עמית גורביץ',amit_gilutz,Amit Gilutz,עמית גילוץ,HE,fuzzy_he,0.727,rejected,
אבירמה גולן,abraham_gutman,Abraham Gutman,אברהם גוטמן,HE,fuzzy_he,0.727,rejected,
נטשה רוט-רולנד,natasha_soffer_roth,Natasha Soffer-Roth,נטשה רוט,HE,fuzzy_he,0.727,pending,
מוחמד וערי,ibrahim_mohammad,Ibrahim Mohammad,אברהים מוחמד,HE,fuzzy_he,0.727,rejected,
מוחמד דאהר,ibrahim_mohammad,Ibrahim Mohammad,אברהים מוחמד,HE,fuzzy_he,0.727,rejected,
אמיר פאח'ורי,ameer_makhoul,Ameer Makhoul,אמיר מח'ול,HE,fuzzy_he,0.727,rejected,
אִיוֹבּ טְלָהוּן אַבֶּרַה,yuval_abraham,Yuval Abraham,יובל אברהם,HE,fuzzy_he,0.72,rejected,
דנה אלכסנדר,alexandr_nabokov,Alexandr Nabokov,אלכסנדר נבוקוב,HE,fuzzy_he,0.72,rejected,
